Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1980.0,1980.0,1980.0,1980.0,1934.476685,0.0
2019-01-02,2020.0,2020.0,1955.0,1980.0,1934.476685,5313100.0
2019-01-03,1980.0,2030.0,1970.0,2020.0,1973.5571289999998,11314600.0
2019-01-04,2010.0,2080.0,1990.0,2040.0,1993.097168,18759700.0
2019-01-07,2020.0,2160.0,2020.0,2140.0,2090.798096,51722500.0
2019-01-08,2140.0,2200.0,2110.0,2190.0,2139.648682,32563100.0
2019-01-09,2210.0,2270.0,2200.0,2250.0,2198.269043,28621800.0
2019-01-10,2250.0,2270.0,2210.0,2250.0,2198.269043,13872500.0
2019-01-11,2250.0,2260.0,2200.0,2200.0,2149.418457,11299600.0
2019-01-14,2200.0,2200.0,2110.0,2110.0,2061.487793,13180700.0
2019-01-15,2120.0,2210.0,2120.0,2190.0,2139.648682,20372700.0
2019-01-16,2190.0,2330.0,2190.0,2310.0,2256.889404,40171200.0
2019-01-17,2330.0,2370.0,2300.0,2300.0,2247.119385,21537800.0
2019-01-18,2300.0,2350.0,2280.0,2290.0,2237.349365,11992000.0
2019-01-21,2310.0,2340.0,2230.0,2250.0,2198.269043,11608400.0
2019-01-22,2220.0,2330.0,2170.0,2270.0,2217.809082,22784000.0
2019-01-23,2270.0,2370.0,2270.0,2320.0,2266.659668,27481400.0
2019-01-24,2350.0,2360.0,2310.0,2330.0,2276.4296879999997,15091400.0
2019-01-25,2360.0,2370.0,2170.0,2190.0,2139.648682,37595300.0
2019-01-28,2220.0,2220.0,2100.0,2130.0,2081.027832,32743000.0
2019-01-29,2130.0,2170.0,2040.0,2060.0,2012.637329,29299200.0
2019-01-30,2070.0,2120.0,2060.0,2110.0,2061.487793,16156100.0
2019-01-31,2140.0,2170.0,2120.0,2170.0,2120.108154,11999900.0
2019-02-01,2170.0,2190.0,2100.0,2100.0,2051.717529,10715500.0
2019-02-04,2110.0,2140.0,2090.0,2120.0,2071.258057,16082100.0
2019-02-05,2120.0,2120.0,2120.0,2120.0,2071.258057,0.0
2019-02-06,2130.0,2220.0,2130.0,2200.0,2149.418457,40880800.0
2019-02-07,2210.0,2230.0,2150.0,2170.0,2120.108154,28062500.0
2019-02-08,2160.0,2210.0,2140.0,2180.0,2129.878418,21432400.0
2019-02-11,2170.0,2200.0,2110.0,2130.0,2081.027832,23067700.0
2019-02-12,2130.0,2140.0,2040.0,2070.0,2022.407471,21694700.0
2019-02-13,2090.0,2110.0,1995.0,2020.0,1973.5571289999998,15619400.0
2019-02-14,2050.0,2110.0,1995.0,2050.0,2002.86731,43970600.0
2019-02-15,2050.0,2440.0,2050.0,2340.0,2286.199707,211910100.0
2019-02-18,2360.0,2580.0,2360.0,2530.0,2471.831299,95862900.0
2019-02-19,2560.0,2660.0,2510.0,2610.0,2549.9921879999997,59416800.0
2019-02-20,2670.0,2670.0,2550.0,2620.0,2559.761963,30943600.0
2019-02-21,2600.0,2680.0,2570.0,2650.0,2589.072266,16555400.0
2019-02-22,2650.0,2650.0,2570.0,2640.0,2579.302246,14537900.0
2019-02-25,2620.0,2620.0,2580.0,2590.0,2530.45166,11932100.0
2019-02-26,2560.0,2570.0,2410.0,2500.0,2442.520996,31258600.0
2019-02-27,2500.0,2530.0,2360.0,2400.0,2344.8203129999997,22082600.0
2019-02-28,2400.0,2440.0,2330.0,2400.0,2344.8203129999997,28718100.0
2019-03-01,2410.0,2530.0,2390.0,2490.0,2432.750977,23691300.0
2019-03-04,2510.0,2530.0,2420.0,2450.0,2393.670654,9909200.0
2019-03-05,2450.0,2450.0,2380.0,2400.0,2344.8203129999997,14575000.0
2019-03-06,2400.0,2430.0,2400.0,2420.0,2364.360596,3207900.0
2019-03-07,2420.0,2420.0,2420.0,2420.0,2364.360596,0.0
2019-03-08,2410.0,2430.0,2310.0,2350.0,2295.969971,20327500.0
2019-03-11,2390.0,2450.0,2360.0,2400.0,2344.8203129999997,11314900.0
2019-03-12,2420.0,2480.0,2390.0,2460.0,2403.440674,11946700.0
2019-03-13,2520.0,2670.0,2480.0,2620.0,2559.761963,35771200.0
2019-03-14,2550.0,2580.0,2500.0,2560.0,2501.141602,8467900.0
2019-03-15,2520.0,2630.0,2520.0,2590.0,2530.45166,12313300.0
2019-03-18,2580.0,2720.0,2570.0,2700.0,2637.922852,21103300.0
2019-03-19,2700.0,2730.0,2610.0,2650.0,2589.072266,10211800.0
2019-03-20,2650.0,2720.0,2610.0,2700.0,2637.922852,13744500.0
2019-03-21,2730.0,2760.0,2670.0,2680.0,2618.3828129999997,10669000.0
2019-03-22,2700.0,2720.0,2650.0,2660.0,2598.842285,2572000.0
2019-03-25,2660.0,2670.0,2550.0,2590.0,2530.45166,8303100.0
2019-03-26,2580.0,2700.0,2580.0,2680.0,2618.3828129999997,8179200.0
2019-03-27,2690.0,2710.0,2610.0,2680.0,2618.3828129999997,5639200.0
2019-03-28,2700.0,2700.0,2610.0,2680.0,2618.3828129999997,6086000.0
2019-03-29,2680.0,2700.0,2620.0,2680.0,2618.3828129999997,2525300.0
2019-04-01,2700.0,2750.0,2620.0,2710.0,2647.692871,8439600.0
2019-04-02,2730.0,2730.0,2650.0,2680.0,2618.3828129999997,4412800.0
2019-04-03,2680.0,2680.0,2680.0,2680.0,2618.3828129999997,0.0
2019-04-04,2670.0,2700.0,2620.0,2630.0,2569.532227,4286200.0
2019-04-05,2640.0,2660.0,2570.0,2640.0,2579.302246,5133300.0
